ticker,entry_date,exit_date,holding_days,side
TVSMOTOR,2025-01-17,2025-01-22,3,short
LT,2025-01-17,2025-01-22,3,short
BAJAJHLDNG,2025-01-22,2025-01-27,3,short
MOTHERSON,2025-02-10,2025-03-11,20,long
MOTHERSON,2025-02-10,2025-03-12,21,long
MOTHERSON,2025-02-10,2025-03-13,22,long
TCS,2025-03-21,2025-03-26,3,short
SOLARINDS,2025-04-02,2025-04-08,4,short
MOTHERSON,2025-03-17,2025-04-17,20,long
MOTHERSON,2025-03-17,2025-04-21,21,long
MOTHERSON,2025-03-17,2025-04-22,22,long
MOTHERSON,2025-03-17,2025-04-23,23,long
MOTHERSON,2025-03-17,2025-04-24,24,long
MAZDOCK,2025-04-21,2025-04-25,4,long
MAZDOCK,2025-04-21,2025-04-30,7,short
DLF,2025-05-21,2025-05-29,6,short
MAZDOCK,2025-05-26,2025-05-30,4,short
LT,2025-06-03,2025-06-06,3,short
UNITDSPR,2025-06-13,2025-06-18,3,short
EICHERMOT,2025-06-16,2025-06-19,3,long
HAL,2025-07-09,2025-07-15,4,short
PAYTM,2025-07-22,2025-07-28,4,short
HDFCBANK,2025-07-21,2025-07-31,8,short
LODHA,2025-07-28,2025-07-31,3,short
HDFCBANK,2025-08-01,2025-08-07,4,short
ETERNAL,2025-08-07,2025-08-13,4,long
AMBUJACEM,2025-09-04,2025-09-09,3,short
EICHERMOT,2025-09-04,2025-09-10,4,short
SOLARINDS,2025-09-15,2025-09-18,3,short
LT,2025-09-11,2025-09-22,7,short
UPL,2025-09-29,2025-10-07,5,short
SOLARINDS,2025-10-01,2025-10-07,3,short
IRFC,2025-09-30,2025-10-09,6,long
TORNTPHARM,2025-10-27,2025-10-30,3,short
TITAN,2025-10-27,2025-11-04,6,short
NIFTY50,2025-10-29,2025-11-04,4,short
SHRIRAMFIN,2025-10-30,2025-11-04,3,short
TITAN,2025-10-27,2025-11-07,8,short
NIFTY50,2025-11-21,2025-11-26,3,short
ULTRACEMCO,2025-11-24,2025-12-01,5,long
NIFTY50,2025-12-03,2025-12-08,3,short
HDFCBANK,2025-12-03,2025-12-08,3,short
MUTHOOTFIN,2025-12-03,2025-12-08,3,short
INDIGO,2025-12-08,2025-12-11,3,short
NIFTY50,2025-12-10,2025-12-15,3,short
INDIGO,2025-12-08,2025-12-16,6,long
SIEMENS,2025-12-17,,6,long
IRFC,2025-12-19,,4,long
HINDZINC,2025-12-24,,1,long
UNIONBANK,2025-12-24,,1,long
PNB,2025-12-24,,1,long
INDIGO,2025-12-24,,1,short
SHRIRAMFIN,2025-12-24,,1,short
TVSMOTOR,2025-12-24,,1,short
JSWSTEEL,2025-12-24,,1,short
