side,horizon,mean_ic,std_ic,icir,pct_positive_ic,n_days
long,1,0.016989567809239936,0.3050136013971692,0.055701017041260424,0.5245901639344263,244
long,2,-0.00022263450834880184,0.32771944025421196,-0.0006793448328121891,0.4857142857142857,245
long,3,0.015250209962374174,0.3259939365497712,0.04678065525935279,0.5224489795918368,245
long,5,0.001122334455667788,0.30837428321886157,0.00363952027371633,0.522633744855967,243
long,10,-0.0012987012987013024,0.3130854625134109,-0.004148072824191488,0.5168067226890757,238
long,15,0.0076472883339836146,0.3198373435903252,0.02390992949146961,0.4978540772532189,233
long,20,0.007097288676236045,0.3247158132463455,0.021856923459565827,0.47368421052631576,228
short,1,,,,,0
short,2,,,,,0
short,3,,,,,0
short,5,,,,,0
short,10,,,,,0
short,15,,,,,0
short,20,,,,,0
