regime,horizon,mean_ic,std_ic,icir,pct_positive_ic,n_days
HIGH,1,0.016447340241340768,0.3048586582945576,0.05395070729941079,0.5247524752475248,101
HIGH,2,0.07429903930072522,0.31767770597260897,0.2338818176530508,0.594059405940594,101
HIGH,3,0.06978310315296492,0.31482413613512134,0.22165741168909067,0.5742574257425742,101
HIGH,5,0.058615427936152584,0.29302879707289703,0.2000329951242668,0.6336633663366337,101
HIGH,10,0.0032954406249320885,0.2542647663421729,0.012960665657062765,0.48514851485148514,101
HIGH,15,0.007070089174739267,0.27769184225692417,0.025460197596290663,0.48514851485148514,101
HIGH,20,0.040178148134957736,0.29067426927954093,0.13822395850359387,0.5247524752475248,101
LOW,1,-0.03456815293549988,0.35323761160518213,-0.09786090665265032,0.42857142857142855,49
LOW,2,-0.07393694740633518,0.43977813173348285,-0.16812329234038156,0.42857142857142855,49
LOW,3,-0.06800478433131496,0.39258272653422144,-0.17322408688653035,0.3673469387755102,49
LOW,5,-0.08320152070152072,0.3713644355119359,-0.22404278047472473,0.375,48
LOW,10,-0.14317204534595843,0.34789035310635263,-0.4115435914435652,0.2826086956521739,46
LOW,15,-0.12168773255729778,0.3431066886370933,-0.3546644136862277,0.34782608695652173,46
LOW,20,-0.16341487969394947,0.34188344216351274,-0.47798418858726993,0.3953488372093023,43
MEDIUM,1,-0.022847818847818856,0.3335624699901046,-0.06849637145478824,0.56,25
MEDIUM,2,0.0534065934065934,0.31551311540422916,0.169269012282326,0.52,25
MEDIUM,3,0.03910755910755909,0.3396128210793338,0.11515336489143774,0.52,25
MEDIUM,5,-0.007313519813519816,0.3186442749595783,-0.022951988748103426,0.4583333333333333,24
MEDIUM,10,0.04819528297789164,0.3677780799317945,0.1310444684110309,0.5652173913043478,23
MEDIUM,15,-0.05237805672588282,0.32486024444893774,-0.16123258422935688,0.34782608695652173,23
MEDIUM,20,-0.037249114521841806,0.3456685241778362,-0.10775963652009646,0.36363636363636365,22
